State,Code,Location,"Square
Feet","Year
Opened",Description of Operation
South Carolina,CAE3,"222 Old Wire Rd, West Columbia, South Carolina, USA, 29172-2862","120,000","February
2017","Printing Make on Demand (MOD): Books, CDs, DVDs. Replaces the N. Charleston Facility CHS1 which was closed in Feb 2017"
South Carolina,GSP1,"402 John Dodd Rd, Spartanburg. South Carolina, USA, 29303- 6312","1,016,100","September
2012",Large Non-Sortable
Tennessee,BNA1,"14840 Central Pike, Suite 190, Lebanon, Tennessee, USA, 37090-8119","449,000","September
2011",Large Non-Sortable
Tennessee,BNA2,"500 Duke Dr, Lebanon, Tennessee, USA, 37087-8123","1,200,000","February
2013",Large Non-Sortable
Tennessee,BNA3,"2020 Joe B Jackson Pkwy, Murfreesboro, Tennessee, USA, 37127-7792","1,000,000","September
2012",Large Sortable
Tennessee,CHA1,"7200 Discovery Drive, Chattanooga, Tennessee, USA, 37416-1749","1,020,000","September
2011",Large Sortable
Tennessee,CHA2,"225 Infinity Dr NW, Charleston, Tennessee, USA, 37310-1400","1,200,000","September
2011","Large Non-Sortable (e.g. coffee makers, lawn tractors, barbecue grills, and water heaters along with bulk items)"
Texas,DFW6,"940 W. Bethel Road , Coppell. Texas, USA. 75019-4424","1,000,000","October
2013","Large Non-Sortable (televisions, furniture and electronics)"
Texas,DFW7,"700 Westport Parkway, (Haslet) Fort Worth, Texas, USA, 76177- 4513","1,100,000","October
2013","Small Sortable (Ships smaller items like books, small electronics and DVDs) Facility budgeted at $100 Million."
Texas,FTW3/ FIVV4,"15201 Heritage Parkway, Fort Worth, Texas, USA, 76177-2517","1,000,000",2016,"FTW3 is the VNA side of the FC
FTW4 is the robotics side (AR=Amazon Robotics) Small Sortable FC"
Texas,XUSG,"14900 Frye Road, Fort Worth, Texas, USA, 76155","495,000","July
2014","Large Non-Sortable (e.g. canoes, fishing rods)
Fulfillment center is outsourced to 3PL Menlo Logistics"
Texas,SAT1,"6000 Enterprise Avenue,
Schertz, Texas, USA, 78154- 1461","1,260,000",Fall 2013,"Large Non-Sortable
Schertz is nearby San Antonio, TX. Facility Investment $166 Million."
Texas,SAT2,"1401 East McCarty Lane, San Marcos, Texas, USA, 78666- 8969","855,000","September
2016","Small Sortable
Facility Investment $190 Million"
Texas,HOU2,"10550 Ella Street, Houston. Texas, USA, 77038-2324","855,000",Q4 2017,Small Sortable
Texas,HOU3,"Woods Road and Interstate 10, Katy, Texas, USA, 77423","1,000,000",2018,Large Non-Sortable
Texas,FTW2,"2701 W. Bethel Road. Coppell. Texas. USA, 75261-4015",1.000.000,"October
2016",Large Non-Sortable
Texas,FTW7,"944 W. Sandy Lake Road, Coppell, Texas, USA, 75019","604,800","November
2017",Large Non-Sortable
Texas,FTW8,"3351 Balmorhea Dr. Dallas, Texas, USA, 75241",500.000,"November
2017",Supplemental Fulfillment Center Sq Ft an Estimate Only
Utah,SLC1,"777 N. 5600 West, Salt Lake City, Utah, USA, 84116","855,000",2018,"Sortable
1,000 associates to be hired"
Virginia,RIC1,"5000 Commerce Way, Petersburg, Virginia, USA, 23803 6917","1,100,000","October
2012","Large Non-Sortable
Ships larger packages that range from electronics and sports equipment to small kitchen appliances and toys
1,000 associates"
Virginia,RIC2,"1901 Meadowdle Technology Parkway, Chesterfield, Virginia, USA, 23836-2841","1,200,000","October
2012","Small Sortable
Ships auto parts, consumer electronics, office supplies, books, etc."
Virginia,,"281 Woodbine RoadClear Brook, Virginia, USA, 22624","1,061,000",2018,"Large Non-Sortable
Ships larger packages that range from electronics and sports equipment to small kitchen appliances and toys
1.000 associates"
Washington,BFI1/ BFIX,"1800 140th Avenue E., Sumner, Washington, USA, 98390-9624","492,000","June
2011","BFI1 is Small Sortable
BFIX is Research & Development"
Washington,BFI3,"2700 Center Drive, DuPont, Washington, USA, 98327-9607","1000,000
,","February
2015","Large Non-Sortable
(Ships larger items such as canoes and televisions.
Includes KIVA automation
Facility cost $100 Million"
Washington,BFI4,"21005 64th Ave. S, Kent, Washington, USA, 98032-2423","885,000","March
2016","Small Sortable (books, electronics and consumer goods)"
Wisconsin,MKE1/ MKE7,"3501 120th Ave, Kenosha, Wisconsin, USA, 53144-7502","1,000,000","June
2015","MKE1 is a Small / Large Sortable facility that employs up to 3400 people. Facility includes a Textbook Rental Processing Center. $155 Million investment. MKE7 is a
future facility that may be in a different location."
